crawl,mimetype,pages,urls,%pages/crawl
CC-MAIN-2008-2009,text/x-vcalendar,20131,20027,0.0011
CC-MAIN-2008-2009,text/x-vcard,42555,42471,0.0024
CC-MAIN-2008-2009,text/xml,11576732,11513141,0.6438
CC-MAIN-2008-2009,unknown/unknown,2509,2508,0.0001
CC-MAIN-2008-2009,video/mp4,1209,1209,0.0001
CC-MAIN-2008-2009,video/x-ms-asf,4829,4829,0.0003
CC-MAIN-2009-2010,<other>,1278853,1185511,0.0447
CC-MAIN-2009-2010,application/atom+xml,2963111,2682964,0.1035
CC-MAIN-2009-2010,application/javascript,7712363,7558783,0.2693
CC-MAIN-2009-2010,application/octet-stream,1750877,1620751,0.0611
CC-MAIN-2009-2010,application/pdf,47086416,44891743,1.6444
CC-MAIN-2009-2010,application/rdf+xml,499681,453511,0.0175
CC-MAIN-2009-2010,application/rss+xml,3868122,3501841,0.1351
CC-MAIN-2009-2010,application/rtf,116462,112178,0.0041
CC-MAIN-2009-2010,application/text,16106,15980,0.0006
CC-MAIN-2009-2010,application/vnd.google-earth.kml+xml,231326,202826,0.0081
CC-MAIN-2009-2010,application/vnd.google-earth.kmz,28104,26463,0.0010
CC-MAIN-2009-2010,application/vnd.ms-excel,637242,621361,0.0223
CC-MAIN-2009-2010,application/vnd.ms-powerpoint,81553,76984,0.0028
CC-MAIN-2009-2010,application/vnd.oasis.opendocument.text,6657,6441,0.0002
CC-MAIN-2009-2010,application/vnd.wap.xhtml+xml,5319,3435,0.0002
CC-MAIN-2009-2010,application/x-javascript,25198745,24550069,0.8800
CC-MAIN-2009-2010,application/x-tar,219935,217021,0.0077
CC-MAIN-2009-2010,application/x-tex,12966,12812,0.0005
CC-MAIN-2009-2010,application/xhtml+xml,8940011,6997137,0.3122
CC-MAIN-2009-2010,application/xml,8767027,7437607,0.3062
CC-MAIN-2009-2010,message/rfc822,45178,43809,0.0016
CC-MAIN-2009-2010,text/calendar,190076,175389,0.0066
CC-MAIN-2009-2010,text/css,25554279,25495830,0.8924
CC-MAIN-2009-2010,text/csv,31717,30960,0.0011
CC-MAIN-2009-2010,text/directory,5875,5769,0.0002
CC-MAIN-2009-2010,text/enriched,634,465,0.0000
CC-MAIN-2009-2010,text/html,2609478137,2076939999,91.1291
CC-MAIN-2009-2010,text/javascript,3154591,2894644,0.1102
CC-MAIN-2009-2010,text/pdf,304,281,0.0000
CC-MAIN-2009-2010,text/plain,67578620,49275974,2.3600
CC-MAIN-2009-2010,text/prs.lines.tag,310,309,0.0000
CC-MAIN-2009-2010,text/tab-separated-values,1974,1966,0.0001
CC-MAIN-2009-2010,text/turtle,180,172,0.0000
CC-MAIN-2009-2010,text/vcard,364,362,0.0000
CC-MAIN-2009-2010,text/x-bibtex,4504,4370,0.0002
CC-MAIN-2009-2010,text/x-c,12356,12098,0.0004
CC-MAIN-2009-2010,text/x-csrc,8886,8669,0.0003
CC-MAIN-2009-2010,text/x-diff,9334,9070,0.0003
CC-MAIN-2009-2010,text/x-patch,3771,3702,0.0001
CC-MAIN-2009-2010,text/x-perl,5742,5543,0.0002
CC-MAIN-2009-2010,text/x-vcalendar,32803,32285,0.0011
CC-MAIN-2009-2010,text/x-vcard,150568,140520,0.0053
CC-MAIN-2009-2010,text/xml,47799382,43873601,1.6693
CC-MAIN-2009-2010,unknown/unknown,4750,4676,0.0002
CC-MAIN-2012,<other>,2826227,2773073,0.0738
CC-MAIN-2012,application/atom+xml,3416865,2268176,0.0892
CC-MAIN-2012,application/download,41631,40318,0.0011
CC-MAIN-2012,application/epub+zip,21817,20317,0.0006
CC-MAIN-2012,application/force-download,107775,104675,0.0028
CC-MAIN-2012,application/javascript,11534877,11439978,0.3013
CC-MAIN-2012,application/json,59572,57852,0.0016
CC-MAIN-2012,application/marc,25792,23164,0.0007
CC-MAIN-2012,application/msword,6639825,6593489,0.1734
CC-MAIN-2012,application/octet-stream,1874679,1843384,0.0490
CC-MAIN-2012,application/octetstream,20451,20276,0.0005
CC-MAIN-2012,application/pdf,92567905,91522066,2.4178
CC-MAIN-2012,application/pgp-encrypted,972,972,0.0000
CC-MAIN-2012,application/pgp-signature,46327,46175,0.0012
CC-MAIN-2012,application/postscript,38345,37910,0.0010
CC-MAIN-2012,application/rdf+xml,135494,126123,0.0035
CC-MAIN-2012,application/rss+xml,4216661,3880824,0.1101
CC-MAIN-2012,application/rtf,295308,291228,0.0077
CC-MAIN-2012,application/save-to-disk,3,3,0.0000
CC-MAIN-2012,application/text,7840,7761,0.0002
CC-MAIN-2012,application/unknown,62555,62337,0.0016
CC-MAIN-2012,application/vnd.android.package-archive,4492,4404,0.0001
CC-MAIN-2012,application/vnd.google-earth.kml+xml,119328,116997,0.0031
CC-MAIN-2012,application/vnd.google-earth.kmz,54432,53610,0.0014
CC-MAIN-2012,application/vnd.ms-excel,1381181,1366233,0.0361
CC-MAIN-2012,application/vnd.ms-powerpoint,984185,981169,0.0257
CC-MAIN-2012,application/vnd.ms-word,20001,19924,0.0005
CC-MAIN-2012,application/vnd.oasis.opendocument.text,16473,16207,0.0004
