crawl,charset,pages,urls,%pages/crawl
CC-MAIN-2018-34,x-windows-950,1783,1783,0.0001
CC-MAIN-2018-39,<other>,2495,2489,0.0001
CC-MAIN-2018-39,<unknown>,23862059,23862059,0.8399
CC-MAIN-2018-39,Big5,3451547,3441194,0.1215
CC-MAIN-2018-39,Big5-HKSCS,6592,6590,0.0002
CC-MAIN-2018-39,EUC-JP,11497088,11433031,0.4047
CC-MAIN-2018-39,EUC-KR,4725181,4717238,0.1663
CC-MAIN-2018-39,GB18030,1141514,1137313,0.0402
CC-MAIN-2018-39,GB2312,26072133,25990314,0.9176
CC-MAIN-2018-39,GBK,12556679,12514383,0.4420
CC-MAIN-2018-39,IBM855,8617,8560,0.0003
CC-MAIN-2018-39,IBM866,47335,41032,0.0017
CC-MAIN-2018-39,ISO-2022-JP,37644,37511,0.0013
CC-MAIN-2018-39,ISO-8859-1,164053172,162780277,5.7741
CC-MAIN-2018-39,ISO-8859-13,14805,14798,0.0005
CC-MAIN-2018-39,ISO-8859-15,10390418,10313410,0.3657
CC-MAIN-2018-39,ISO-8859-2,9017868,8977554,0.3174
CC-MAIN-2018-39,ISO-8859-3,13282,13269,0.0005
CC-MAIN-2018-39,ISO-8859-4,36811,36045,0.0013
CC-MAIN-2018-39,ISO-8859-5,58407,58310,0.0021
CC-MAIN-2018-39,ISO-8859-6,9417,9344,0.0003
CC-MAIN-2018-39,ISO-8859-7,605312,603475,0.0213
CC-MAIN-2018-39,ISO-8859-8,30856,30670,0.0011
CC-MAIN-2018-39,ISO-8859-9,1904783,1893599,0.0670
CC-MAIN-2018-39,KOI8-R,630791,629721,0.0222
CC-MAIN-2018-39,KOI8-U,10599,10590,0.0004
CC-MAIN-2018-39,Shift_JIS,17122561,17024399,0.6027
CC-MAIN-2018-39,TIS-620,524196,522599,0.0184
CC-MAIN-2018-39,US-ASCII,759595,756252,0.0267
CC-MAIN-2018-39,UTF-16,84550,84087,0.0030
CC-MAIN-2018-39,UTF-16BE,1564,1558,0.0001
CC-MAIN-2018-39,UTF-16LE,37707,37412,0.0013
CC-MAIN-2018-39,UTF-32,2593,2542,0.0001
CC-MAIN-2018-39,UTF-8,2448086775,2418414906,86.1640
CC-MAIN-2018-39,windows-1250,5128943,5099392,0.1805
CC-MAIN-2018-39,windows-1251,61579907,61378188,2.1674
CC-MAIN-2018-39,windows-1252,28990309,28793137,1.0204
CC-MAIN-2018-39,windows-1253,177019,176329,0.0062
CC-MAIN-2018-39,windows-1254,1190656,1183178,0.0419
CC-MAIN-2018-39,windows-1255,611859,609164,0.0215
CC-MAIN-2018-39,windows-1256,5596430,5564137,0.1970
CC-MAIN-2018-39,windows-1257,330945,329350,0.0116
CC-MAIN-2018-39,windows-1258,1707,1700,0.0001
CC-MAIN-2018-39,windows-31j,60073,59683,0.0021
CC-MAIN-2018-39,x-IBM949,301,298,0.0000
CC-MAIN-2018-39,x-MacCyrillic,232230,231077,0.0082
CC-MAIN-2018-39,x-iso-8859-11,1716,1713,0.0001
CC-MAIN-2018-39,x-windows-874,486694,484494,0.0171
CC-MAIN-2018-39,x-windows-949,898,895,0.0000
CC-MAIN-2018-39,x-windows-950,196,195,0.0000
CC-MAIN-2018-43,<other>,2596,2587,0.0001
CC-MAIN-2018-43,<unknown>,106829314,106829314,3.5121
CC-MAIN-2018-43,Big5,3351549,3338282,0.1102
CC-MAIN-2018-43,Big5-HKSCS,7975,7969,0.0003
CC-MAIN-2018-43,EUC-JP,12025602,11938754,0.3953
CC-MAIN-2018-43,EUC-KR,4665198,4649622,0.1534
CC-MAIN-2018-43,GB18030,1820725,1816034,0.0599
CC-MAIN-2018-43,GB2312,34044482,33957414,1.1192
CC-MAIN-2018-43,GBK,16667691,16605605,0.5480
CC-MAIN-2018-43,IBM855,5896,5874,0.0002
CC-MAIN-2018-43,IBM866,14241,14189,0.0005
CC-MAIN-2018-43,ISO-2022-JP,37525,37350,0.0012
CC-MAIN-2018-43,ISO-8859-1,155559333,154280588,5.1141
CC-MAIN-2018-43,ISO-8859-13,14116,14106,0.0005
CC-MAIN-2018-43,ISO-8859-15,9983041,9885418,0.3282
CC-MAIN-2018-43,ISO-8859-2,8932817,8880316,0.2937
CC-MAIN-2018-43,ISO-8859-3,14719,13056,0.0005
CC-MAIN-2018-43,ISO-8859-4,32996,32626,0.0011
CC-MAIN-2018-43,ISO-8859-5,66051,65863,0.0022
CC-MAIN-2018-43,ISO-8859-6,6148,6001,0.0002
CC-MAIN-2018-43,ISO-8859-7,653768,651391,0.0215
CC-MAIN-2018-43,ISO-8859-8,33295,33011,0.0011
CC-MAIN-2018-43,ISO-8859-9,1910576,1891561,0.0628
CC-MAIN-2018-43,KOI8-R,613107,611294,0.0202
CC-MAIN-2018-43,KOI8-U,10718,10684,0.0004
CC-MAIN-2018-43,Shift_JIS,17004646,16867151,0.5590
CC-MAIN-2018-43,TIS-620,521696,519774,0.0172
CC-MAIN-2018-43,US-ASCII,908489,903803,0.0299
CC-MAIN-2018-43,UTF-16,94184,93528,0.0031
CC-MAIN-2018-43,UTF-16BE,1066,1058,0.0000
CC-MAIN-2018-43,UTF-16LE,55051,54654,0.0018
CC-MAIN-2018-43,UTF-32,3065,2857,0.0001
CC-MAIN-2018-43,UTF-8,2561682128,2531944964,84.2164
CC-MAIN-2018-43,windows-1250,5025383,4988293,0.1652
CC-MAIN-2018-43,windows-1251,63017227,62744099,2.0717
CC-MAIN-2018-43,windows-1252,27484876,27129540,0.9036
CC-MAIN-2018-43,windows-1253,157717,155235,0.0052
CC-MAIN-2018-43,windows-1254,1151708,1143715,0.0379
CC-MAIN-2018-43,windows-1255,513551,511398,0.0169
CC-MAIN-2018-43,windows-1256,5778327,5762054,0.1900
CC-MAIN-2018-43,windows-1257,328551,327105,0.0108
CC-MAIN-2018-43,windows-1258,1895,1880,0.0001
CC-MAIN-2018-43,windows-31j,124992,124269,0.0041
CC-MAIN-2018-43,x-IBM949,263,257,0.0000
CC-MAIN-2018-43,x-MacCyrillic,153785,153249,0.0051
CC-MAIN-2018-43,x-iso-8859-11,1246,1239,0.0000
CC-MAIN-2018-43,x-windows-874,467192,465066,0.0154
CC-MAIN-2018-43,x-windows-949,2915,2903,0.0001
CC-MAIN-2018-43,x-windows-950,1091,1083,0.0000
CC-MAIN-2018-47,<other>,2508,2498,0.0001
CC-MAIN-2018-47,<unknown>,55767519,55767519,2.1072
CC-MAIN-2018-47,Big5,2790341,2778870,0.1054
CC-MAIN-2018-47,Big5-HKSCS,7554,7549,0.0003
CC-MAIN-2018-47,EUC-JP,9774292,9707913,0.3693
CC-MAIN-2018-47,EUC-KR,3977836,3966968,0.1503
CC-MAIN-2018-47,GB18030,1801683,1796763,0.0681
CC-MAIN-2018-47,GB2312,27965419,27879814,1.0567
CC-MAIN-2018-47,GBK,12112024,11991049,0.4577
CC-MAIN-2018-47,IBM855,7254,7237,0.0003
CC-MAIN-2018-47,IBM866,39087,39014,0.0015
CC-MAIN-2018-47,ISO-2022-JP,48184,47996,0.0018
CC-MAIN-2018-47,ISO-8859-1,142054924,140845987,5.3675
CC-MAIN-2018-47,ISO-8859-13,8277,8264,0.0003
CC-MAIN-2018-47,ISO-8859-15,6899189,6835127,0.2607
CC-MAIN-2018-47,ISO-8859-2,8017077,7978512,0.3029
CC-MAIN-2018-47,ISO-8859-3,8018,7806,0.0003
CC-MAIN-2018-47,ISO-8859-4,26626,26357,0.0010
CC-MAIN-2018-47,ISO-8859-5,48637,48474,0.0018
CC-MAIN-2018-47,ISO-8859-6,3883,3788,0.0001
CC-MAIN-2018-47,ISO-8859-7,577015,574581,0.0218
CC-MAIN-2018-47,ISO-8859-8,37380,37042,0.0014
CC-MAIN-2018-47,ISO-8859-9,1668202,1654680,0.0630
CC-MAIN-2018-47,KOI8-R,527750,526308,0.0199
CC-MAIN-2018-47,KOI8-U,5822,5805,0.0002
CC-MAIN-2018-47,Shift_JIS,17775853,17651965,0.6717
