crawl,primary_language,pages,urls,%pages/crawl
CC-MAIN-2018-34,heb,4313879,4253840,0.1606
CC-MAIN-2018-34,hin,1842721,1820540,0.0686
CC-MAIN-2018-34,hrv,3592632,3566053,0.1337
CC-MAIN-2018-34,hun,13034954,12907032,0.4852
CC-MAIN-2018-34,hye,605141,601248,0.0225
CC-MAIN-2018-34,ibo,4039,4008,0.0002
CC-MAIN-2018-34,iku,3339,3325,0.0001
CC-MAIN-2018-34,ile,7297,7170,0.0003
CC-MAIN-2018-34,ina,19138,18902,0.0007
CC-MAIN-2018-34,ind,19876418,19670480,0.7399
CC-MAIN-2018-34,ipk,1804,1789,0.0001
CC-MAIN-2018-34,isl,820455,812901,0.0305
CC-MAIN-2018-34,ita,52747492,51973301,1.9636
CC-MAIN-2018-34,jav,31469,31373,0.0012
CC-MAIN-2018-34,jpn,143535898,142054611,5.3432
CC-MAIN-2018-34,kal,15871,15599,0.0006
CC-MAIN-2018-34,kan,159102,158465,0.0059
CC-MAIN-2018-34,kas,29,27,0.0000
CC-MAIN-2018-34,kat,674943,671871,0.0251
CC-MAIN-2018-34,kaz,361123,359208,0.0134
CC-MAIN-2018-34,kha,4984,4894,0.0002
CC-MAIN-2018-34,khm,131955,130977,0.0049
CC-MAIN-2018-34,kin,46300,46030,0.0017
CC-MAIN-2018-34,kir,85309,85151,0.0032
CC-MAIN-2018-34,kor,15020842,14834806,0.5592
CC-MAIN-2018-34,kur,108778,108578,0.0040
CC-MAIN-2018-34,lao,50900,50380,0.0019
CC-MAIN-2018-34,lat,889401,881361,0.0331
CC-MAIN-2018-34,lav,1943967,1926190,0.0724
CC-MAIN-2018-34,lif,154,153,0.0000
CC-MAIN-2018-34,lin,4101,4002,0.0002
CC-MAIN-2018-34,lit,3453793,3410139,0.1286
CC-MAIN-2018-34,ltz,53532,52895,0.0020
CC-MAIN-2018-34,lug,3238,3187,0.0001
CC-MAIN-2018-34,mal,343153,341324,0.0128
CC-MAIN-2018-34,mar,189570,188817,0.0071
CC-MAIN-2018-34,mfe,2795,2746,0.0001
CC-MAIN-2018-34,mkd,441705,439487,0.0164
CC-MAIN-2018-34,mlg,54122,53786,0.0020
CC-MAIN-2018-34,mlt,49657,49369,0.0018
CC-MAIN-2018-34,mon,323068,321689,0.0120
CC-MAIN-2018-34,mri,14624,14350,0.0005
CC-MAIN-2018-34,msa,2649378,2630915,0.0986
CC-MAIN-2018-34,mya,213473,211957,0.0079
CC-MAIN-2018-34,nau,1136,1097,0.0000
CC-MAIN-2018-34,nep,291069,289491,0.0108
CC-MAIN-2018-34,nld,36731598,36107045,1.3674
