crawl,mimetype_detected,pages,urls,%pages/crawl
CC-MAIN-2017-22,audio/x-mpegurl,45126,45119,0.0015
CC-MAIN-2017-22,image/gif,131365,130916,0.0044
CC-MAIN-2017-22,image/jpeg,4633840,4630130,0.1562
CC-MAIN-2017-22,image/png,1352618,1350932,0.0456
CC-MAIN-2017-22,image/svg+xml,4481,4470,0.0002
CC-MAIN-2017-22,image/tiff,34525,34095,0.0012
CC-MAIN-2017-22,image/vnd.djvu,34253,34192,0.0012
CC-MAIN-2017-22,image/vnd.dxf; format=ascii,1936,1936,0.0001
CC-MAIN-2017-22,image/webp,9381,9352,0.0003
CC-MAIN-2017-22,message/rfc822,56842,56348,0.0019
CC-MAIN-2017-22,text/asp,1041567,1039810,0.0351
CC-MAIN-2017-22,text/aspdotnet,544307,541368,0.0183
CC-MAIN-2017-22,text/calendar,323606,323035,0.0109
CC-MAIN-2017-22,text/css,6117,6101,0.0002
CC-MAIN-2017-22,text/csv,22460,22440,0.0008
CC-MAIN-2017-22,text/html,2020375643,1981618517,68.0882
CC-MAIN-2017-22,text/plain,1151678,1146421,0.0388
CC-MAIN-2017-22,text/prs.lines.tag,1369,1369,0.0000
CC-MAIN-2017-22,text/tab-separated-values,14562,14555,0.0005
CC-MAIN-2017-22,text/troff,5858,5857,0.0002
CC-MAIN-2017-22,text/turtle,14368,14366,0.0005
CC-MAIN-2017-22,text/vtt,74,74,0.0000
CC-MAIN-2017-22,text/x-c++src,3100,2936,0.0001
CC-MAIN-2017-22,text/x-cgi,458874,455098,0.0155
CC-MAIN-2017-22,text/x-chdr,4358,4245,0.0001
CC-MAIN-2017-22,text/x-coldfusion,306499,305828,0.0103
CC-MAIN-2017-22,text/x-csrc,8604,8513,0.0003
CC-MAIN-2017-22,text/x-diff,17300,17103,0.0006
CC-MAIN-2017-22,text/x-jsp,435699,371105,0.0147
CC-MAIN-2017-22,text/x-log,11655,11650,0.0004
CC-MAIN-2017-22,text/x-matlab,15572,15544,0.0005
CC-MAIN-2017-22,text/x-perl,75433,75345,0.0025
CC-MAIN-2017-22,text/x-php,3100427,3089755,0.1045
CC-MAIN-2017-22,text/x-python,5534,5490,0.0002
CC-MAIN-2017-22,text/x-vcalendar,6844,6635,0.0002
CC-MAIN-2017-22,text/x-vcard,28404,28070,0.0010
CC-MAIN-2017-22,text/x-web-markdown,1805,1802,0.0001
CC-MAIN-2017-22,text/x-yaml,123,123,0.0000
CC-MAIN-2017-22,video/mp4,20295,20265,0.0007
CC-MAIN-2017-22,video/quicktime,6848,6834,0.0002
CC-MAIN-2017-22,video/webm,9692,9690,0.0003
CC-MAIN-2017-22,video/x-m4v,10283,10277,0.0003
CC-MAIN-2017-26,<other>,427844,427314,0.0135
CC-MAIN-2017-26,application/atom+xml,11726061,11706819,0.3705
CC-MAIN-2017-26,application/epub+zip,30826,30759,0.0010
CC-MAIN-2017-26,application/gpx+xml,2420,2420,0.0001
CC-MAIN-2017-26,application/gzip,115220,112536,0.0036
CC-MAIN-2017-26,application/javascript,30413,30398,0.0010
CC-MAIN-2017-26,application/json,153699,153457,0.0049
CC-MAIN-2017-26,application/marc,16197,16197,0.0005
CC-MAIN-2017-26,application/mbox,65477,65466,0.0021
CC-MAIN-2017-26,application/msword,74908,74599,0.0024
CC-MAIN-2017-26,application/octet-stream,236988,236063,0.0075
CC-MAIN-2017-26,application/pdf,22997250,22961604,0.7266
CC-MAIN-2017-26,application/pgp-signature,19994,19962,0.0006
CC-MAIN-2017-26,application/pkcs7-signature,2682,2680,0.0001
CC-MAIN-2017-26,application/postscript,22274,22257,0.0007
CC-MAIN-2017-26,application/rdf+xml,553737,552465,0.0175
CC-MAIN-2017-26,application/rss+xml,7517436,7490497,0.2375
CC-MAIN-2017-26,application/rtf,22873,22858,0.0007
CC-MAIN-2017-26,application/text,9846,9843,0.0003
CC-MAIN-2017-26,application/vnd.android.package-archive,39457,39378,0.0012
CC-MAIN-2017-26,application/vnd.google-earth.kml+xml,62003,61940,0.0020
CC-MAIN-2017-26,application/vnd.google-earth.kmz,13847,13843,0.0004
CC-MAIN-2017-26,application/vnd.ms-excel,22127,22056,0.0007
CC-MAIN-2017-26,application/vnd.ms-powerpoint,19695,19649,0.0006
CC-MAIN-2017-26,application/vnd.oasis.opendocument.spreadsheet,1977,1977,0.0001
CC-MAIN-2017-26,application/vnd.oasis.opendocument.text,8569,8568,0.0003
CC-MAIN-2017-26,application/vnd.openxmlformats-officedocument.presentationml.presentation,5683,5678,0.0002
CC-MAIN-2017-26,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,8808,8770,0.0003
CC-MAIN-2017-26,application/vnd.openxmlformats-officedocument.wordprocessingml.document,24098,23914,0.0008
CC-MAIN-2017-26,application/x-bibtex-text-file,26238,26190,0.0008
CC-MAIN-2017-26,application/x-bittorrent,5456,5451,0.0002
CC-MAIN-2017-26,application/x-bzip2,9029,8853,0.0003
CC-MAIN-2017-26,application/x-debian-package,8401,8394,0.0003
CC-MAIN-2017-26,application/x-dosexec,15718,15387,0.0005
CC-MAIN-2017-26,application/x-endnote-refer,11350,11348,0.0004
CC-MAIN-2017-26,application/x-hdf,198,198,0.0000
CC-MAIN-2017-26,application/x-mobipocket-ebook,11026,11000,0.0003
CC-MAIN-2017-26,application/x-ms-asx,18306,18281,0.0006
CC-MAIN-2017-26,application/x-msdownload,6907,6812,0.0002
CC-MAIN-2017-26,application/x-rar-compressed,14709,14578,0.0005
CC-MAIN-2017-26,application/x-research-info-systems,30893,30890,0.0010
CC-MAIN-2017-26,application/x-sh,21438,21380,0.0007
CC-MAIN-2017-26,application/x-shockwave-flash,22527,22465,0.0007
CC-MAIN-2017-26,application/x-stata-do,1038,1035,0.0000
CC-MAIN-2017-26,application/x-tex,3387,3384,0.0001
CC-MAIN-2017-26,application/x-tex-tfm,233,233,0.0000
CC-MAIN-2017-26,application/x-tika-msoffice,34120,34079,0.0011
CC-MAIN-2017-26,application/x-tika-ooxml,17597,17569,0.0006
CC-MAIN-2017-26,application/x-wais-source,4262,4262,0.0001
CC-MAIN-2017-26,application/x-xz,38920,38847,0.0012
CC-MAIN-2017-26,application/xhtml+xml,1003165441,996351958,31.6934
CC-MAIN-2017-26,application/xml,1013265,1010451,0.0320
CC-MAIN-2017-26,application/zip,170414,169923,0.0054
CC-MAIN-2017-26,application/zlib,2343,2324,0.0001
CC-MAIN-2017-26,audio/mp4,30421,30364,0.0010
CC-MAIN-2017-26,audio/mpeg,157503,156793,0.0050
CC-MAIN-2017-26,audio/x-mpegurl,42186,42169,0.0013
CC-MAIN-2017-26,image/gif,133652,133396,0.0042
CC-MAIN-2017-26,image/jpeg,4946296,4944274,0.1563
CC-MAIN-2017-26,image/png,897731,897231,0.0284
CC-MAIN-2017-26,image/svg+xml,3752,3747,0.0001
CC-MAIN-2017-26,image/tiff,27646,27620,0.0009
CC-MAIN-2017-26,image/vnd.djvu,31413,31398,0.0010
CC-MAIN-2017-26,image/vnd.dxf; format=ascii,4829,4829,0.0002
CC-MAIN-2017-26,image/webp,2858,2823,0.0001
CC-MAIN-2017-26,message/rfc822,31171,31152,0.0010
CC-MAIN-2017-26,text/asp,694674,693419,0.0219
CC-MAIN-2017-26,text/aspdotnet,197023,196570,0.0062
CC-MAIN-2017-26,text/calendar,341362,341192,0.0108
CC-MAIN-2017-26,text/css,8784,8780,0.0003
CC-MAIN-2017-26,text/csv,12835,12765,0.0004
CC-MAIN-2017-26,text/html,2105181099,2081107184,66.5099
CC-MAIN-2017-26,text/plain,768672,767043,0.0243
CC-MAIN-2017-26,text/prs.lines.tag,1445,1436,0.0000
CC-MAIN-2017-26,text/tab-separated-values,4892,4892,0.0002
CC-MAIN-2017-26,text/troff,3011,3010,0.0001
CC-MAIN-2017-26,text/turtle,22365,22364,0.0007
CC-MAIN-2017-26,text/vtt,1297,1297,0.0000
CC-MAIN-2017-26,text/x-c++src,2351,2337,0.0001
CC-MAIN-2017-26,text/x-cgi,43889,43626,0.0014
CC-MAIN-2017-26,text/x-chdr,3240,3231,0.0001
CC-MAIN-2017-26,text/x-coldfusion,208194,207533,0.0066
CC-MAIN-2017-26,text/x-csrc,9823,9821,0.0003
CC-MAIN-2017-26,text/x-diff,11725,11712,0.0004
CC-MAIN-2017-26,text/x-jsp,141767,128812,0.0045
CC-MAIN-2017-26,text/x-log,13609,13609,0.0004
CC-MAIN-2017-26,text/x-matlab,16330,16322,0.0005
CC-MAIN-2017-26,text/x-perl,32511,32476,0.0010
CC-MAIN-2017-26,text/x-php,2183733,2177512,0.0690
CC-MAIN-2017-26,text/x-python,4450,4442,0.0001
CC-MAIN-2017-26,text/x-vcalendar,5318,5317,0.0002
CC-MAIN-2017-26,text/x-vcard,41876,41811,0.0013
CC-MAIN-2017-26,text/x-web-markdown,1911,1910,0.0001
CC-MAIN-2017-26,text/x-yaml,227,227,0.0000
CC-MAIN-2017-26,video/mp4,24227,24199,0.0008
CC-MAIN-2017-26,video/quicktime,7271,7244,0.0002
CC-MAIN-2017-26,video/webm,12798,12795,0.0004
CC-MAIN-2017-26,video/x-m4v,16294,16281,0.0005
CC-MAIN-2017-30,<other>,815903,815051,0.0282
CC-MAIN-2017-30,application/atom+xml,9050774,9046147,0.3129
CC-MAIN-2017-30,application/epub+zip,47901,47441,0.0017
CC-MAIN-2017-30,application/gpx+xml,2947,2947,0.0001
CC-MAIN-2017-30,application/gzip,132149,131007,0.0046
CC-MAIN-2017-30,application/javascript,78232,78166,0.0027
CC-MAIN-2017-30,application/json,367228,367064,0.0127
CC-MAIN-2017-30,application/marc,12154,12154,0.0004
CC-MAIN-2017-30,application/mbox,198532,198526,0.0069
CC-MAIN-2017-30,application/msword,166034,164612,0.0057
CC-MAIN-2017-30,application/octet-stream,763883,762296,0.0264
CC-MAIN-2017-30,application/pdf,22153905,22090556,0.7660
CC-MAIN-2017-30,application/pgp-signature,42352,42346,0.0015
CC-MAIN-2017-30,application/pkcs7-signature,6168,6168,0.0002
CC-MAIN-2017-30,application/postscript,28912,28883,0.0010
CC-MAIN-2017-30,application/rdf+xml,489116,488850,0.0169
CC-MAIN-2017-30,application/rss+xml,6998910,6939347,0.2420
CC-MAIN-2017-30,application/rtf,31210,30889,0.0011
CC-MAIN-2017-30,application/text,14658,14656,0.0005
CC-MAIN-2017-30,application/vnd.android.package-archive,23047,22867,0.0008
CC-MAIN-2017-30,application/vnd.google-earth.kml+xml,231054,230219,0.0080
CC-MAIN-2017-30,application/vnd.google-earth.kmz,42871,42867,0.0015
CC-MAIN-2017-30,application/vnd.ms-excel,38981,37964,0.0013
CC-MAIN-2017-30,application/vnd.ms-powerpoint,27176,27092,0.0009
CC-MAIN-2017-30,application/vnd.oasis.opendocument.spreadsheet,2163,2158,0.0001
CC-MAIN-2017-30,application/vnd.oasis.opendocument.text,10960,10947,0.0004
CC-MAIN-2017-30,application/vnd.openxmlformats-officedocument.presentationml.presentation,16212,16161,0.0006
CC-MAIN-2017-30,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,23491,23432,0.0008
CC-MAIN-2017-30,application/vnd.openxmlformats-officedocument.wordprocessingml.document,42582,41818,0.0015
CC-MAIN-2017-30,application/x-bibtex-text-file,75883,75833,0.0026
CC-MAIN-2017-30,application/x-bittorrent,5140,5134,0.0002
CC-MAIN-2017-30,application/x-bzip2,8962,8948,0.0003
CC-MAIN-2017-30,application/x-debian-package,33948,33932,0.0012
CC-MAIN-2017-30,application/x-dosexec,34121,33969,0.0012
CC-MAIN-2017-30,application/x-endnote-refer,22866,22854,0.0008
CC-MAIN-2017-30,application/x-hdf,12025,12025,0.0004
CC-MAIN-2017-30,application/x-mobipocket-ebook,17396,17232,0.0006
CC-MAIN-2017-30,application/x-ms-asx,49610,49587,0.0017
CC-MAIN-2017-30,application/x-msdownload,53046,52887,0.0018
CC-MAIN-2017-30,application/x-rar-compressed,13529,13409,0.0005
CC-MAIN-2017-30,application/x-research-info-systems,52232,52202,0.0018
CC-MAIN-2017-30,application/x-sh,40707,40623,0.0014
CC-MAIN-2017-30,application/x-shockwave-flash,45047,44928,0.0016
