,crawl,date,type,size
515,CC-MAIN-2017-30,2017-07-24,duplicate,1264096523
547,CC-MAIN-2017-34,2017-08-21,unfetched,3076043806
548,CC-MAIN-2017-34,2017-08-21,fetched,5006935549
549,CC-MAIN-2017-34,2017-08-21,gone,2236270221
550,CC-MAIN-2017-34,2017-08-21,redir_temp,260757633
551,CC-MAIN-2017-34,2017-08-21,redir_perm,1150539535
552,CC-MAIN-2017-34,2017-08-21,notmodified,990776773
553,CC-MAIN-2017-34,2017-08-21,duplicate,1339996022
554,CC-MAIN-2017-34,2017-08-21,orphan,637262069
586,CC-MAIN-2017-39,2017-09-25,unfetched,3036783816
587,CC-MAIN-2017-39,2017-09-25,fetched,5498973901
588,CC-MAIN-2017-39,2017-09-25,gone,2379462200
589,CC-MAIN-2017-39,2017-09-25,redir_temp,289206929
590,CC-MAIN-2017-39,2017-09-25,redir_perm,1270055417
591,CC-MAIN-2017-39,2017-09-25,notmodified,1077659650
592,CC-MAIN-2017-39,2017-09-25,duplicate,1428053290
593,CC-MAIN-2017-39,2017-09-25,orphan,970453
625,CC-MAIN-2017-43,2017-10-23,unfetched,3122841352
626,CC-MAIN-2017-43,2017-10-23,fetched,5971792808
627,CC-MAIN-2017-43,2017-10-23,gone,2492882625
628,CC-MAIN-2017-43,2017-10-23,redir_temp,328298718
629,CC-MAIN-2017-43,2017-10-23,redir_perm,1443098416
630,CC-MAIN-2017-43,2017-10-23,notmodified,1035904596
631,CC-MAIN-2017-43,2017-10-23,duplicate,1557355682
632,CC-MAIN-2017-43,2017-10-23,orphan,7416614
664,CC-MAIN-2017-47,2017-11-20,unfetched,3023484693
665,CC-MAIN-2017-47,2017-11-20,fetched,6367094529
666,CC-MAIN-2017-47,2017-11-20,gone,2642912081
667,CC-MAIN-2017-47,2017-11-20,redir_temp,364184547
668,CC-MAIN-2017-47,2017-11-20,redir_perm,1677626597
669,CC-MAIN-2017-47,2017-11-20,notmodified,979294749
670,CC-MAIN-2017-47,2017-11-20,duplicate,1698798693
671,CC-MAIN-2017-47,2017-11-20,orphan,3130306
703,CC-MAIN-2017-51,2017-12-18,unfetched,2823422683
704,CC-MAIN-2017-51,2017-12-18,fetched,6620604422
705,CC-MAIN-2017-51,2017-12-18,gone,474509164
706,CC-MAIN-2017-51,2017-12-18,redir_temp,394068005
707,CC-MAIN-2017-51,2017-12-18,redir_perm,1892585141
708,CC-MAIN-2017-51,2017-12-18,notmodified,972078034
709,CC-MAIN-2017-51,2017-12-18,duplicate,500992703
710,CC-MAIN-2017-51,2017-12-18,orphan,3712283719
742,CC-MAIN-2018-05,2018-01-29,unfetched,3530830470
743,CC-MAIN-2018-05,2018-01-29,fetched,6680509983
744,CC-MAIN-2018-05,2018-01-29,gone,383010192
745,CC-MAIN-2018-05,2018-01-29,redir_temp,423180270
746,CC-MAIN-2018-05,2018-01-29,redir_perm,2027169812
747,CC-MAIN-2018-05,2018-01-29,notmodified,1141286075
748,CC-MAIN-2018-05,2018-01-29,duplicate,464213456
749,CC-MAIN-2018-05,2018-01-29,orphan,335245085
781,CC-MAIN-2018-09,2018-02-26,unfetched,3375900564
782,CC-MAIN-2018-09,2018-02-26,fetched,7383766566
783,CC-MAIN-2018-09,2018-02-26,gone,312579144
784,CC-MAIN-2018-09,2018-02-26,redir_temp,122260941
785,CC-MAIN-2018-09,2018-02-26,redir_perm,268322325
786,CC-MAIN-2018-09,2018-02-26,notmodified,1162096276
787,CC-MAIN-2018-09,2018-02-26,duplicate,412199050
788,CC-MAIN-2018-09,2018-02-26,orphan,2665638225
820,CC-MAIN-2018-13,2018-03-26,unfetched,3001227883
821,CC-MAIN-2018-13,2018-03-26,fetched,7895148123
822,CC-MAIN-2018-13,2018-03-26,gone,365571188
823,CC-MAIN-2018-13,2018-03-26,redir_temp,154234976
824,CC-MAIN-2018-13,2018-03-26,redir_perm,348846564
825,CC-MAIN-2018-13,2018-03-26,notmodified,1199871167
826,CC-MAIN-2018-13,2018-03-26,duplicate,481114057
827,CC-MAIN-2018-13,2018-03-26,orphan,384958612
859,CC-MAIN-2018-17,2018-04-23,unfetched,2970644985
860,CC-MAIN-2018-17,2018-04-23,fetched,8114915537
861,CC-MAIN-2018-17,2018-04-23,gone,362439633
862,CC-MAIN-2018-17,2018-04-23,redir_temp,135744114
863,CC-MAIN-2018-17,2018-04-23,redir_perm,301467764
864,CC-MAIN-2018-17,2018-04-23,notmodified,1206453159
865,CC-MAIN-2018-17,2018-04-23,duplicate,481125718
866,CC-MAIN-2018-17,2018-04-23,orphan,498309870
898,CC-MAIN-2018-22,2018-05-28,unfetched,3177942882
899,CC-MAIN-2018-22,2018-05-28,fetched,8103351816
900,CC-MAIN-2018-22,2018-05-28,gone,299583913
901,CC-MAIN-2018-22,2018-05-28,redir_temp,141267298
902,CC-MAIN-2018-22,2018-05-28,redir_perm,326809247
903,CC-MAIN-2018-22,2018-05-28,notmodified,1334180288
904,CC-MAIN-2018-22,2018-05-28,duplicate,432254606
905,CC-MAIN-2018-22,2018-05-28,orphan,477840859
936,CC-MAIN-2018-26,2018-06-25,unfetched,1733783856
937,CC-MAIN-2018-26,2018-06-25,fetched,7339361811
938,CC-MAIN-2018-26,2018-06-25,gone,293483951
939,CC-MAIN-2018-26,2018-06-25,redir_temp,153405416
940,CC-MAIN-2018-26,2018-06-25,redir_perm,374247837
941,CC-MAIN-2018-26,2018-06-25,notmodified,1349447758
942,CC-MAIN-2018-26,2018-06-25,duplicate,423459632
943,CC-MAIN-2018-26,2018-06-25,orphan,2447444152
975,CC-MAIN-2018-30,2018-07-23,unfetched,1819924719
976,CC-MAIN-2018-30,2018-07-23,fetched,6349393753
977,CC-MAIN-2018-30,2018-07-23,gone,278526026
978,CC-MAIN-2018-30,2018-07-23,redir_temp,172383828
979,CC-MAIN-2018-30,2018-07-23,redir_perm,424540268
980,CC-MAIN-2018-30,2018-07-23,notmodified,1266019885
981,CC-MAIN-2018-30,2018-07-23,duplicate,378211682
982,CC-MAIN-2018-30,2018-07-23,orphan,1647785805
1014,CC-MAIN-2018-34,2018-08-20,unfetched,1635807505
1015,CC-MAIN-2018-34,2018-08-20,fetched,5580993899
1016,CC-MAIN-2018-34,2018-08-20,gone,373290661
1017,CC-MAIN-2018-34,2018-08-20,redir_temp,168159102
1018,CC-MAIN-2018-34,2018-08-20,redir_perm,410307697
1019,CC-MAIN-2018-34,2018-08-20,notmodified,1230145234
1020,CC-MAIN-2018-34,2018-08-20,duplicate,450826491
1021,CC-MAIN-2018-34,2018-08-20,orphan,1455222899
1044,CC-MAIN-2018-39,2018-09-24,unfetched,1398567439
1045,CC-MAIN-2018-39,2018-09-24,fetched,5488581498
1046,CC-MAIN-2018-39,2018-09-24,gone,374186964
1047,CC-MAIN-2018-39,2018-09-24,redir_temp,143284282
1048,CC-MAIN-2018-39,2018-09-24,redir_perm,318986116
1049,CC-MAIN-2018-39,2018-09-24,notmodified,1242592600
1050,CC-MAIN-2018-39,2018-09-24,duplicate,437746486
1051,CC-MAIN-2018-39,2018-09-24,orphan,918444632
1083,CC-MAIN-2018-43,2018-10-22,unfetched,1461120982
1084,CC-MAIN-2018-43,2018-10-22,fetched,5266342920
1085,CC-MAIN-2018-43,2018-10-22,gone,467535814
