,crawl,size,percentage,type
607,CC-MAIN-2017-43,66501392,1.189307452742163,notmodified
609,CC-MAIN-2017-43,837200905,14.972457655607926,redirect
612,CC-MAIN-2017-43,352090300,6.2967647027332,failed
614,CC-MAIN-2017-43,92641850,1.6568020507122851,denied
620,CC-MAIN-2017-43,530629886,9.489757418424029,skipped
645,CC-MAIN-2017-47,3252728548,64.92417531156383,success
646,CC-MAIN-2017-47,62082353,1.2391582975482867,notmodified
648,CC-MAIN-2017-47,686084836,13.694192894902928,redirect
651,CC-MAIN-2017-47,380412550,7.5930009905391715,failed
653,CC-MAIN-2017-47,94621993,1.8886466457949154,denied
659,CC-MAIN-2017-47,534111869,10.660825859650867,skipped
684,CC-MAIN-2017-51,2944314545,70.63217260765897,success
685,CC-MAIN-2017-51,79404292,1.904856825795749,notmodified
687,CC-MAIN-2017-51,371810357,8.919486322389277,redirect
690,CC-MAIN-2017-51,232678965,5.581815586232293,failed
692,CC-MAIN-2017-51,62236913,1.4930226762113337,denied
698,CC-MAIN-2017-51,478072526,11.46864598171237,skipped
723,CC-MAIN-2018-05,3539656618,63.71596028865095,success
724,CC-MAIN-2018-05,57260633,1.0307260313833684,notmodified
726,CC-MAIN-2018-05,842022112,15.156907361446777,redirect
729,CC-MAIN-2018-05,441747825,7.9517280665494,failed
731,CC-MAIN-2018-05,112706070,2.0287774367411573,denied
737,CC-MAIN-2018-05,561975604,10.115900815228352,skipped
762,CC-MAIN-2018-09,3537023788,70.05233548642732,success
763,CC-MAIN-2018-09,81979040,1.6236314927874738,notmodified
765,CC-MAIN-2018-09,437813280,8.671087504422841,redirect
768,CC-MAIN-2018-09,450570672,8.923753349461219,failed
770,CC-MAIN-2018-09,68342465,1.3535530358580155,denied
776,CC-MAIN-2018-09,473386910,9.375639131043124,skipped
801,CC-MAIN-2018-13,3285419961,68.69248311760866,success
802,CC-MAIN-2018-13,111508186,2.3314444653062623,notmodified
804,CC-MAIN-2018-13,496906934,10.389469711637172,redirect
807,CC-MAIN-2018-13,374995914,7.840519871857329,failed
809,CC-MAIN-2018-13,66986277,1.4005678898150329,denied
815,CC-MAIN-2018-13,446976728,9.345514943775543,skipped
840,CC-MAIN-2018-17,3144252077,69.14165852077643,success
841,CC-MAIN-2018-17,100902383,2.2188291328013006,notmodified
843,CC-MAIN-2018-17,382972702,8.421515557915326,redirect
846,CC-MAIN-2018-17,420996466,9.257652751047438,failed
848,CC-MAIN-2018-17,60259746,1.3251032927538156,denied
854,CC-MAIN-2018-17,438167472,9.635240744705683,skipped
879,CC-MAIN-2018-22,2840416631,66.08270202060226,success
880,CC-MAIN-2018-22,108799877,2.531244808666654,notmodified
882,CC-MAIN-2018-22,392630990,9.134616532325206,redirect
885,CC-MAIN-2018-22,470619009,10.949019026842238,failed
887,CC-MAIN-2018-22,70039800,1.6294860347135385,denied
893,CC-MAIN-2018-22,415769254,9.672931576850106,skipped
918,CC-MAIN-2018-26,3113935691,70.54289846195273,success
919,CC-MAIN-2018-26,103681263,2.3487886501173145,notmodified
921,CC-MAIN-2018-26,417302854,9.453551960847186,redirect
924,CC-MAIN-2018-26,453481549,10.273141785790347,failed
926,CC-MAIN-2018-26,60098834,1.3614751122821926,denied
931,CC-MAIN-2018-26,265743849,6.020144029010231,skipped
956,CC-MAIN-2018-30,3318163845,69.0702109493858,success
957,CC-MAIN-2018-30,99627702,2.073829598231472,notmodified
959,CC-MAIN-2018-30,546641385,11.378773785540545,redirect
962,CC-MAIN-2018-30,526909659,10.96804226627903,failed
964,CC-MAIN-2018-30,68747924,1.4310425388329018,denied
970,CC-MAIN-2018-30,243954238,5.0781008617302525,skipped
995,CC-MAIN-2018-34,2735259369,69.1283649845395,success
996,CC-MAIN-2018-34,100121564,2.530377958835146,notmodified
998,CC-MAIN-2018-34,437420532,11.054953885006668,redirect
1001,CC-MAIN-2018-34,430736512,10.886028268898501,failed
1003,CC-MAIN-2018-34,51306382,1.2966690987805214,denied
1008,CC-MAIN-2018-34,201938605,5.103605803939668,skipped
1025,CC-MAIN-2018-39,2884119432,69.7300871129273,success
1026,CC-MAIN-2018-39,84584691,2.0450255306383016,notmodified
1028,CC-MAIN-2018-39,429090903,10.374239607964554,redirect
1031,CC-MAIN-2018-39,491507003,11.883289490559424,failed
1033,CC-MAIN-2018-39,53144101,1.2848784107731799,denied
1038,CC-MAIN-2018-39,193672942,4.682479847137244,skipped
1064,CC-MAIN-2018-43,3090406673,73.25612910798816,success
1065,CC-MAIN-2018-43,27315531,0.6474973287728378,notmodified
1067,CC-MAIN-2018-43,419367941,9.940850923617962,redirect
1070,CC-MAIN-2018-43,438435857,10.39284377249448,failed
1072,CC-MAIN-2018-43,58591517,1.388874730139726,denied
1077,CC-MAIN-2018-43,184514711,4.373804136986836,skipped
