year,com,org,ru,net,de,uk,jp,edu,fr,it,pl,nl,br,au,cz,info
(any),52.30721656477019,6.413959886741439,4.021023478479284,3.7812580110385934,3.2635237367603405,2.0646510941547267,1.6512166632035614,1.447801622387404,1.3588996056801592,1.3476085303049397,1.2307537044931562,1.1080309430753632,0.9706773182330733,0.8188420605554743,0.8156325724571308,0.7584220171148723
2009,71.19780889022911,8.098929313625348,0.05351614532270588,9.192244767771701,0.05229943066335908,4.035882904228814,0.05172600187665833,1.2758001274752773,0.019721612003983577,0.04384950419892673,0.18616156990118463,0.007326984931601306,0.3371385283395139,0.601235299647618,0.006517566005039137,1.8063967872192235
2010,68.93182873699625,7.140400107811788,0.46442692696666116,6.0261543153559165,1.5071477519179124,3.1231446830343264,0.5019212492802659,1.3083111025801328,0.4374130392617395,0.5685715050740612,0.48197880870021537,0.4423738714382255,0.7884784029067625,1.0174189743866877,0.1696544885787117,1.0714749327713036
2012,55.856399418493176,6.022725691210052,1.7092228719397122,5.430585937678828,4.752871358541379,3.454940323911269,1.1427540929401447,0.6065172816762283,1.2974944702218174,1.3003447285636904,1.794793492276718,1.4343236655889144,0.7561427194830521,0.9834737749202592,0.7643201919764638,1.3151252312026
2013,73.07832933177185,9.397807679592292,0.0576101583509711,3.269726670817926,1.122655213970551,1.9973525831718704,0.16378503435221878,2.906697821403832,0.3795106738238928,0.33725209585561516,0.02455189987001929,0.24826465816108723,0.2165408066061675,0.633941239564323,0.09510312100280675,0.21819269030377358
2014,73.25154993537471,9.748709303575934,0.11357902937548757,3.2006759407993606,0.8102633151462019,1.7445533155041957,0.13037620976505668,3.36436596270053,0.3023998644590416,0.2627330934011718,0.1575522142061087,0.16476339518765715,0.2801926420741301,0.508761576408202,0.05591932198087427,0.21070413017898657
2015,73.30584506468368,10.25005088968117,0.10884730008636287,3.163612596472046,0.755234139038026,1.6705744755475465,0.1416879605482132,3.344217600154009,0.2810126137710399,0.24869594328930453,0.13983018448402285,0.1661677306088631,0.25895815983586756,0.5070904400084749,0.047732897166349104,0.17948445512867944
2016,64.54523740307623,8.962913504852864,2.5554470749563514,3.6593123663986775,1.9722821636683794,1.7895415990305006,0.8124400136775266,2.4817418083983913,0.6309310471298197,0.6481674607899223,0.48744016390253647,0.5113775166677983,0.43462600911804555,0.6046418501995843,0.520424381598946,0.3658207676595372
2017,56.54142420097272,5.643604702140739,5.298772605425257,4.217553207459812,2.8272361487220534,2.030203752445904,2.094932027320141,1.0213536337719042,1.1462942617265288,1.0752783830848343,0.9875203959783877,0.7282896047329713,0.8073278394888976,0.70379930272525,0.8525616264541258,0.6895657278180118
2018,50.06329875319154,5.277805347037557,6.059784566481229,4.411463764554048,3.493396558772616,2.2178148687676367,2.164062012953355,0.7471671647649256,1.4179426241400284,1.278994949295683,1.3704808710201752,1.0185913442100039,0.9893937030239857,0.781953100203275,0.9309126422286781,1.2637385946978803
2019,46.20532576745491,5.676807344971467,5.085952469840225,3.9819656860964496,3.8838680030819392,2.3803074166762186,1.9926785479648448,0.888637799619372,1.6682126002159616,1.6259115040790517,1.5062165054968,1.381020765676773,1.187565937889545,0.9193488692014473,0.9904209503277482,1.2593042774547731
2020,44.965464764988575,5.680418883349085,4.851169812730146,3.7145583596844514,4.030039960587272,2.295895268261546,1.8924009010047067,1.0761603584806487,1.7504655275200778,1.7043980826477478,1.5247171265991937,1.4581695573792826,1.3056568434903515,0.9797505695472748,1.0175013685624041,0.8711113974712615
2021,44.32560044163435,5.712679745200201,4.785891026180248,3.5893809528625042,4.147310238160972,2.3843450021653423,1.885449413654711,1.281048084913162,1.790613167633786,1.7719417632847865,1.5852346915602094,1.517795518795522,1.398618093474787,1.0501915728082938,1.0486188707374928,0.762778942723597
2022,45.37548169622278,6.158432878698863,4.136582366324254,3.558225755498412,4.20563086555731,1.750006179943287,1.7826016159829337,1.488170085944872,1.8476059411985666,1.8766664931169015,1.656898832651494,1.6432687465511873,1.0531541785479854,0.798074391363609,1.0284847667932469,0.6978425544885842
2023,46.52580333169464,6.059793038227193,4.274594205438922,3.4923339674259486,4.295582610988845,0.7721516959075141,1.6617919730015456,1.3069957401439511,1.9138263335101504,2.060756103048291,1.6413990191796046,1.7580674048160572,0.4870726818081391,0.41106841526393656,1.0794611766053126,0.6780314623187264
2024,43.64514945495107,5.509630912040156,4.400192617327216,3.3161531547511496,4.028478270272748,2.0924533910547045,2.0801574283126305,1.1379001775504274,1.7504729335015614,1.9166658226647484,1.74936524608057,1.5397250866024828,1.4133306498645226,1.0498701103812977,1.0307223655323625,0.6211223932128083
2025,43.38670632804893,5.150688076456455,4.230853772453794,3.2876359023475854,4.14714854710372,2.1979992857134913,2.2328649028654577,1.0349320789380392,1.706519846712634,1.739069175335624,1.6703747690828488,1.4877976320355695,1.546515624147894,1.1540174075461724,1.0021720503118987,0.5993630701266485
